Rank,Grade,Channel name,Video Uploads,Subscribers,Video views,Grade_num,Average_Views
1,A++ ,Zee TV,82757,18752951,20869786591,5,252181.52652947788
2,A++ ,T-Series,12661,61196302,47548839843,5,3755535.885238133
3,A++ ,Cocomelon - Nursery Rhymes,373,19238251,9793305082,5,26255509.60321716
4,A++ ,SET India,27323,31180559,22675948293,5,829921.6152325879
5,A++ ,WWE,36756,32852346,26273668433,5,714813.0491076286
6,A++ ,Movieclips,30243,17149705,16618094724,5,549485.6569784743
7,A++ ,netd müzik,8500,11373567,23898730764,5,2811615.384
8,A++ ,ABS-CBN Entertainment,100147,12149206,17202609850,5,171773.59132075848
9,A++ ,Ryan ToysReview,1140,16082927,24518098041,5,21507103.544736844
10,A++ ,Zee Marathi,74607,2841811,2591830307,5,34739.77384159663
11,A+ ,5-Minute Crafts,2085,33492951,8587520379,4,4118714.8100719424
12,A+ ,Canal KondZilla,822,39409726,19291034467,4,23468411.76034063
13,A+ ,Like Nastya Vlog,150,7662886,2540099931,4,16933999.54
14,A+ ,Ozuna,50,18824912,8727783225,4,174555664.5
15,A+ ,Wave Music,16119,15899764,10989179147,4,681753.1575780135
16,A+ ,Ch3Thailand,49239,11569723,9388600275,4,190674.06476573448
17,A+ ,WORLDSTARHIPHOP,4778,15830098,11102158475,4,2323599.513394726
19,A+ ,Badabun,3060,23603062,5860444053,4,1915177.7950980393
20,A+ ,WorkpointOfficial,24287,17687229,14022189654,4,577353.7140857249
21,A+ ,xxxtentacion,48,11593509,2029279311,4,42276652.3125
22,A+ ,Zee Music Company,3403,23440427,11666909155,4,3428418.793711431
23,A+ ,SAB TV,19358,11347420,9572788450,4,494513.2994110962
24,A+ ,DeadloxMC,1833,2137907,245437560,4,133899.37806873978
25,A+ ,ETV Andhra Pradesh,186194,712562,349096736,4,1874.9086221897592
26,A+ ,Shemaroo Filmi Gaane,5076,14469618,6585569190,4,1297393.4574468085
27,A+ ,ibighit,277,16924523,3437613314,4,12410156.368231047
28,A+ ,El Reino Infantil,555,15836366,16395683234,4,29541771.592792794
29,A+ ,Zee Telugu,92250,2902714,2754482753,4,29858.891631436316
30,A+ ,Kirin AMV's,230,459906,224608044,4,976556.7130434783
31,A+ ,Zee Bangla,79497,3102246,2867901827,4,36075.59816093689
32,A+ ,Stacy Toys,91,5992452,1576070985,4,17319461.373626374
33,A+ ,Toys and Colors,127,4746069,2250065105,4,17717048.07086614
34,A+ ,InfantiLandia,710,7504480,2135402141,4,3007608.6492957748
35,A+ ,Top Breaking News,848,1120620,291002673,4,343163.52948113205
36,A+ ,Colors TV,23504,12466776,8354699608,4,355458.62865895167
37,A+ ,Goldmines Telefilms,206,14011180,555853544,4,2698318.174757282
38,A+ ,one31,47805,10878372,7614312491,4,159278.57945821568
39,A+ ,[토이푸딩] ToyPudding TV,2201,18777612,11920370065,4,5415888.262153567
40,A+ ,CKN Toys,431,8816598,7498069721,4,17396913.505800463
41,A+ ,GMA Network,65757,6270681,7373478009,4,112132.214197728
42,A+ ,Zé Neto e Cristiano,102,6154173,3232954352,4,31695630.901960783
43,A+ ,Inside Edition,14643,4391875,5542203386,4,378488.245987844
44,A+ ,GRAMMY GOLD OFFICIAL,2943,7385239,6480263464,4,2201924.384641522
45,A+ ,RedeTV,15672,5604245,3317197927,4,211663.98206993364
46,A+ ,Bouncing Baby TV,30,2869857,493923518,4,16464117.266666668
47,A+ ,Speed Records,5704,14903053,7823927253,4,1371656.2505259467
48,A+ ,GR6 EXPLODE,2517,16813027,7609346952,4,3023181.148986889
49,A+ ,Sony Music India,2204,15862389,6738087055,4,3057208.2826678767
50,A+ ,Infobells - Hindi,169,7546139,3919961629,4,23195039.22485207
51,A+ ,T-Series Apna Punjab,3437,10055513,5384101851,4,1566512.031131801
52,A ,T-Series Bhakti Sagar,19447,10796918,4220899885,3,217046.32514012445
53,A ,Tips Official,2321,10384600,4589770470,3,1977496.9711331322
54,A ,Ultra Bollywood,10714,10490425,6239740374,3,582391.2986746313
55,A ,La Granja de Zenón,149,8781935,4473966039,3,30026617.711409397
56,A ,✿ Kids Diana Show,488,8983362,2492724832,3,5108042.68852459
57,A ,Boram Tube ToysReview [보람튜브…,136,3052780,849887197,3,6249170.56617647
58,A ,CVS 3D Rhymes,317,14925769,9454820754,3,29825932.97791798
59,A ,Maroon5VEVO,111,15720338,10355362290,3,93291552.16216215
60,A ,الرماس ميوزك,1905,8368289,5172463467,3,2715203.919685039
61,A ,Pencilmation,348,5283050,2499031601,3,7181125.290229885
62,A ,1theK (원더케이),12942,12918410,10657097331,3,823450.5741770979
63,A ,Pinkfong! Kids' Songs & Stories,1010,10538694,5761524025,3,5704479.232673267
64,A ,Ed Sheeran,122,33961184,14521211040,3,119026320.0
65,A ,SonyMusicIndiaVEVO,2958,13215636,6215499269,3,2101250.598039216
66,A ,Blossom,137,5375332,1251331678,3,9133807.868613139
67,A ,POPS Kids,3751,5621106,4908451376,3,1308571.4145561184
68,A ,Shemaroo,6466,10846501,4795061785,3,741580.8513764306
69,A ,Gaane Sune Ansune,1778,9177850,4124067978,3,2319498.300337458
70,A ,Bolly HD 1080p,250,3832164,1427683110,3,5710732.44
71,A ,Vijay Television,19471,6456081,3686308830,3,189323.03579682604
72,A ,DokuzSekiz Müzik,2253,1971613,2559979914,3,1136253.845539281
73,A ,FGTeeV,1169,7910214,8437768629,3,7217937.23609923
74,A ,Erlania e Valentina,543,8900406,2058205665,3,3790434.005524862
75,A ,Маша и Медведь,568,16638993,16519985673,3,29084481.818661973
76,A ,Doggy Doggy Play Doh Cartoons,909,9994112,3155585139,3,3471490.801980198
77,A ,Asianet,31201,3310120,2450108456,3,78526.6003012724
78,A ,Eros Now,9852,13820875,8651382337,3,878134.6261672757
79,A ,ChuChu TV Nursery Rhymes & Kids…,254,19641153,15212759916,3,59892755.57480315
80,A ,Oyuncak Avı,393,3286612,1045924447,3,2661385.361323155
81,A ,Cauê Moura,487,5184068,518924050,3,1065552.4640657085
82,A ,Get Movies,2747,20186240,17362242300,3,6320437.677466327
83,A ,SMTOWN,3274,15711312,11614803892,3,3547588.2382406844
84,A ,Felipe Neto,1276,25069826,4455604361,3,3491852.947492163
85,A ,Galinha Pintadinha,47,13312085,9570884138,3,203635832.72340426
86,A ,YRF,3564,13419831,7280286813,3,2042729.1843434344
87,A ,Dehati India NonVeg Masti,612,4546683,1950903340,3,3187750.5555555555
88,A ,キッズライン♡Kids Line,2712,6421915,5406199624,3,1993436.4395280236
89,A ,LooLoo Kids - Nursery Rhymes and…,481,10813220,4362878210,3,9070432.869022869
90,A ,Zaz Official,50,649081,242240716,3,4844814.32
91,A ,LazarBeam,959,4791790,1080083584,3,1126260.2544316996
92,A ,Aditya Music,14744,5940275,3871453495,3,262578.23487520346
93,A ,hairong zheng,492,394,254252482,3,516773.337398374
94,A ,BRIGHT SIDE,1547,16616187,3132608077,3,2024956.7401422106
95,A ,Tekashi 6ix9ine,3,3108447,353018727,3,117672909.0
96,A ,Luccas Neto,487,18703101,3564747380,3,7319809.8151950715
97,A ,NollywoodStreams,1528,2794475,1171653272,3,766788.7905759162
98,A ,MGR PRODUCTION,2069,733903,401477421,3,194044.186080232
99,A ,BeckyGVEVO,53,6658776,3518844458,3,66393291.66037736
